List of Pinball Machines

Title                                              Manufacturer                              Release Date
Grand Prix                                         Williams                                  December 15, 1976
Aristocrat                                         Williams                                  1977
Ben-Hur                                            Staal Society                             1977
Big Kick                                           Sega Pinball                              1977
Card Castle                                        Nordamatic                                1977
Casino 2000                                        Bill Port                                 1977
Evel Knievel                                       Bally                                     January 1977
Jacks Open                                         Gottlieb                                  January 1977
Poker Plus                                         Recel S.A.                                January 1977
Shamrock                                           Inder                                     1977
Star Explorer                                      Sentinel Inc.                             1977
Supersonic                                         Zaccaria                                  1977
Tasty Samba                                        Inder                                     1977
Aerobatics                                         Zaccaria                                  February 1977
Cosmic Pinball                                     (Briarwood) Brunswick                     February 1977
Nautilus                                           Zaccaria                                  February 1977
Rawhide                                            Chicago Coin / Stern Electronics          February 1977
Stampede                                           Stern Electronics                         February 1977
Team One                                           Gottlieb                                  February 1977
Big Hit                                            Gottlieb                                  March 1977
Bronco                                             Gottlieb                                  March 1977
Prospector                                         Sonic                                     March 1977
Circus                                             Zaccaria                                  April 1977
Space Race                                         Recel S.A.                                April 1977
The 30's                                           Playmatic                                 April 25, 1977
Big Deal                                           Williams                                  May 1977
Carnival                                           Playmatic                                 May 1977
Mata Hari                                          Bally                                     May 1977
Mustang                                            Gottlieb                                  May 1977
Super Straight                                     Sonic                                     May 1977
Disco                                              Stern Electronics                         June 1977
Lucky Hand                                         Gottlieb                                  June 1977
Rio                                                Playmatic                                 June 1977
Time 2000                                          Atari                                     June 1977
Jungle Queen                                       Gottlieb                                  July 1977
Millionaire                                        Sega                                      July 1977
Monaco                                             Segasa                                    July 1977
Centigrade 37                                      Gottlieb                                  August 1977
Jet Spin                                           Gottlieb                                  August 1977
Jungle Princess                                    Gottlieb                                  August 1977
Mars Trek                                          Sonic                                     August 1977
Airborne Avenger                                   Atari                                     September 1977
Argosy                                             Williams                                  September 1977
Combat                                             Zaccaria                                  September 1977
Eight Ball                                         Bally                                     September 1977
Icarus                                             Recel S.A.                                September 1977
Pinball                                            Stern Electronics                         September 1977
Super Spin                                         Gottlieb                                  September 1977
Golden Arrow                                       Gottlieb                                  October 1977
Vulcan                                             Gottlieb                                  October 1977
Wild Card                                          Williams                                  October 1977
Big Top                                            Wico                                      November 1977
Butterfly                                          Sonic                                     November 1977
Fire Queen                                         Gottlieb                                  November 1977
Space Shuttle                                      Sega                                      November 1977
Universe                                           Zaccaria                                  November 1977
Cleopatra                                          Gottlieb                                  December 1977
Dragon                                             Interflip S.A.                            December 1977
Gridiron                                           Gottlieb                                  December 1977
Stingray                                           Stern Electronics                         December 1977
Big Foot                                           Bally                                     1978
Bird Man                                           Sonic                                     1978
Cha-Cha-Cha                                        Sega Pinball                              1978
Cherokee                                           Interflip S.A.                            1978
Chuck-A-Luck                                       Game Plan                                 1978
Cosmic Wars                                        Coffee Mat                                1978
Crazy Race                                         Recel S.A.                                January 1978
Hot & Cold                                         Inder                                     1978
Metropolis                                         Maresa                                    1978
Winter Sports                                      Zaccaria                                  January 1978
Cherry Bell                                        Sonic                                     February 1978
Middle Earth                                       Atari                                     February 1978
Pyramid                                            Gottlieb                                  February 1978
Sinbad                                             Gottlieb                                  February 1978
Strange World                                      Gottlieb                                  February 1978
Space Gambler                                      Playmatic                                 March 1978
Stars                                              Stern Electronics                         March 1978
Big Town                                           Playmatic                                 April 1978
Neptune                                            Gottlieb                                  April 1978
Queen's Castle                                     Zaccaria                                  April 1978
Alaska                                             Interflip S.A.                            May 1978
Black Velvet                                       Game Plan                                 May 1978
Camel Lights                                       Game Plan                                 May 1978
Contact                                            Williams                                  May 1978
Eye of the Tiger                                   Gottlieb                                  May 1978
Black Jack                                         Bally                                     June 1978
Galaxy                                             Bally                                     June 1978
Joker Poker                                        Gottlieb                                  June 1978
Memory Lane                                        Stern Electronics                         June 1978
Strikes and Spares                                 Bally                                     June 1978
House of Diamonds                                  Zaccaria                                  July 1978
Close Encounters of the Third Kind                 Gottlieb                                  August 1978
Disco Fever                                        Williams                                  August 1978
Hit the Deck                                       Gottlieb                                  August 1978
Lectronamo                                         Stern Electronics                         August 1978
Lost World                                         Bally                                     August 1978
Chance                                             Playmatic                                 September 1978
Last Lap                                           Playmatic                                 September 1978
Space Riders                                       Atari                                     September 1978
Strike                                             Zaccaria                                  September 1978
Dragon                                             Gottlieb                                  October 1978
Future World                                       Zaccaria                                  October 1978
Gemini                                             Gottlieb                                  October 1978
The Six Million Dollar Man                         Bally                                     October 1978
Wild Fyre                                          Stern Electronics                         October 1978
Charlie's Angels                                   Gottlieb                                  November 1978
Nugent                                             Stern Electronics                         November 1978
Phoenix                                            Williams                                  November 1978
Blue Note                                          Gottlieb                                  December 1978
Playboy                                            Bally                                     December 1978
Adventure                                          Sega                                      January 1979
Black Sheep Squadron                               Astro Games                               1979
Cavalier                                           Recel S.A.                                1979
Centaur                                            Inder                                     1979
Cleopatra                                          Mondialmatic                              1979
Dracula                                            Stern Electronics                         January 1979
Drakor                                             Taito of Brazil                           1979
Flash                                              Williams                                  1979
Hot Ball                                           Taito of Brazil                           1979
Mr. Doom                                           Recel                                     1979
Topaz                                              Inder                                     January 1979
Circa 1933                                         Fascination Inc.                          February 1979
Solar Ride                                         Gottlieb                                  February 1979
Voltan Escapes Cosmic Doom                         Bally                                     February 1979
Football                                           Taito of Brazil                           March 1979
Space Walk                                         Gottlieb                                  March 1979
Stellar Wars                                       Williams                                  March 1979
Superman                                           Atari                                     March 1979
T.K.O.                                             Gottlieb                                  March 1979
Trident                                            Stern Electronics                         March 1979
Count-Down                                         Gottlieb                                  April 1979
Shooting the Rapids                                Zaccaria                                  April 1979
Star Trek                                          Bally                                     April 1979
Hercules                                           Atari                                     May 1979
Hot Hand                                           Stern Electronics                         May 1979
Party                                              Playmatic                                 May 1979
Sharpshooter                                       GamePlan                                  May 1979
Kiss                                               Bally                                     June 1979
Paragon                                            Bally                                     June 1979
Pinball Pool                                       Gottlieb                                  June 1979
Cosmic Princess                                    (Allied Leisure Industries)               August 1979
Magic                                              Stern Electronics                         August 1979
Totem                                              Gottlieb                                  August 1979
Harlem Globetrotters On Tour                       Bally                                     September 1979
Hot Wheels                                         Zaccaria                                  September 1979
Meteor                                             Stern Electronics                         September 1979
Space City                                         Zaccaria                                  September 1979
Time Warp                                          Williams                                  September 1979
Genie                                              Gottlieb                                  October 1979
The Incredible Hulk                                Gottlieb                                  October 1979
Supersonic                                         Bally                                     October 1979
Antar                                              Playmatic                                 November 1979
Dolly Parton                                       Bally                                     November 1979
Old Coney Island!                                  Game Plan                                 November 1979
Future Spa                                         Bally                                     December 1979
Gorgar                                             Williams                                  December 1979
Laser Ball                                         Williams                                  December 1979
Roller Disco                                       Gottlieb                                  1980
Buck Rogers                                        Gottlieb                                  January 1980
Circus                                             Brunswick                                 1980
Cosmic                                             Taito of Brazil                           1980
Cosmodrome                                         Bell Games (Nuova 11)                     1980
Fire Action                                        Taito of Brazil                           1980
Fire Mountain                                      Zaccaria                                  January 1980
Galaxy                                             Stern Electronics                         January 1980
Nitro Ground Shaker                                Bally                                     January 1980
Rally                                              Taito of Brazil                           1980
Skateboard                                         Inder                                     January 1980
Super Win                                          Playmatic                                 1980
Zira                                               Playmatic                                 January 1980
Firepower                                          Williams                                  February 1980
Silverball Mania                                   Bally                                     February 1980
Torch                                              Gottlieb                                  February 1980
Ali                                                Stern Electronics                         March 1980
Big Game                                           Stern Electronics                         March 1980
Evil Fight                                         Playmatic                                 March 1980
Space Invaders                                     Bally                                     April 1980
The Amazing Spider-Man                             Gottlieb                                  May 1980
Rolling Stones                                     Bally                                     May 1980
Seawitch                                           Stern Electronics                         May 1980
Star God                                           Zaccaria                                  May 1980
Black Magic                                        Recel S.A.                                June 1980
Blackout                                           Williams                                  June 1980
Cheetah                                            Stern Electronics                         June 1980
